driver,ticker,event_date,driver_change_pct,buy_date,sell_date,buy_price,sell_price,capital,shares,return_pct,profit_rp,ending_value
GOLD,BRMS.JK,2013-10-25,6.66,2013-10-25,2013-11-11,213.6907501220703,209.3297119140625,1000000,4679.66,-2.04,-20408.0,979592.0
GOLD,BRMS.JK,2014-02-14,6.36,2014-02-14,2014-02-28,197.9910125732422,202.35205078125,1000000,5050.73,2.2,22026.0,1022026.0
GOLD,BRMS.JK,2014-06-20,5.12,2014-06-20,2014-07-04,205.84088134765625,233.7515106201172,1000000,4858.12,13.56,135593.0,1135593.0
GOLD,BRMS.JK,2015-01-15,6.82,2015-01-15,2015-01-29,230.26268005371094,235.4959259033203,1000000,4342.87,2.27,22727.0,1022727.0
GOLD,BRMS.JK,2015-08-20,5.76,2015-08-20,2015-09-03,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2015-10-14,5.79,2015-10-15,2015-10-29,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2016-02-04,5.32,2016-02-04,2016-02-19,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2016-05-06,5.23,2016-05-09,2016-05-23,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2016-06-13,5.82,2016-06-13,2016-06-27,44.48256301879883,44.48256301879883,1000000,22480.72,0.0,0.0,1000000.0
GOLD,BRMS.JK,2017-01-11,5.13,2017-01-11,2017-01-25,71.52098083496094,88.0929183959961,1000000,13981.91,23.17,231707.0,1231707.0
GOLD,BRMS.JK,2019-06-06,5.03,2019-06-06,2019-06-20,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2019-08-07,5.94,2019-08-07,2019-08-21,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2020-01-03,5.2,2020-01-03,2020-01-17,46.22697830200195,45.35477066040039,1000000,21632.39,-1.89,-18868.0,981132.0
GOLD,BRMS.JK,2020-02-21,5.08,2020-02-21,2020-03-06,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2020-03-27,7.14,2020-03-27,2020-04-13,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2020-07-24,5.51,2020-07-24,2020-08-10,43.610355377197266,43.610355377197266,1000000,22930.33,0.0,0.0,1000000.0
GOLD,BRMS.JK,2021-05-18,5.18,2021-05-18,2021-06-03,94.67481994628906,86.32115936279297,1000000,10562.47,-8.82,-88235.0,911765.0
GOLD,BRMS.JK,2021-11-17,6.02,2021-11-17,2021-12-01,96.53118896484375,104.88484954833984,1000000,10359.35,8.65,86538.0,1086538.0
GOLD,BRMS.JK,2022-02-17,5.42,2022-02-17,2022-03-07,172.0,186.0,1000000,5813.95,8.14,81395.0,1081395.0
GOLD,BRMS.JK,2022-11-10,5.4,2022-11-10,2022-11-24,186.0,183.0,1000000,5376.34,-1.61,-16129.0,983871.0
